Country,Time,USD-HUF Spot Exchange Rate
HU,1968-01,60.0
HU,1968-02,60.0
HU,1968-03,60.0
HU,1968-04,60.0
HU,1968-05,60.0
HU,1968-06,60.0
HU,1968-07,60.0
HU,1968-08,60.0
HU,1968-09,60.0
HU,1968-10,60.0
HU,1968-11,60.0
HU,1968-12,60.0
HU,1969-01,60.0
HU,1969-02,60.0
HU,1969-03,60.0
HU,1969-04,60.0
HU,1969-05,60.0
HU,1969-06,60.0
HU,1969-07,60.0
HU,1969-08,60.0
HU,1969-09,60.0
HU,1969-10,60.0
HU,1969-11,60.0
HU,1969-12,60.0
HU,1970-01,60.0
HU,1970-02,60.0
HU,1970-03,60.0
HU,1970-04,60.0
HU,1970-05,60.0
HU,1970-06,60.0
HU,1970-07,60.0
HU,1970-08,60.0
HU,1970-09,60.0
HU,1970-10,60.0
HU,1970-11,60.0
HU,1970-12,60.0
HU,1971-01,60.0
HU,1971-02,60.0
HU,1971-03,60.0
HU,1971-04,60.0
HU,1971-05,60.0
HU,1971-06,60.0
HU,1971-07,60.0
HU,1971-08,60.0
HU,1971-09,60.0
HU,1971-10,60.0
HU,1971-11,60.0
HU,1971-12,57.8594
HU,1972-01,55.26
HU,1972-02,55.26
HU,1972-03,55.26
HU,1972-04,55.26
HU,1972-05,55.26
HU,1972-06,55.26
HU,1972-07,55.26
HU,1972-08,55.26
HU,1972-09,55.26
HU,1972-10,55.26
HU,1972-11,55.26
HU,1972-12,55.26
HU,1973-01,55.26
HU,1973-02,52.1038
HU,1973-03,49.7366
HU,1973-04,49.7366
HU,1973-05,49.7366
HU,1973-06,49.7366
HU,1973-07,47.5225
HU,1973-08,46.7524
HU,1973-09,46.7524
HU,1973-10,46.7524
HU,1973-11,46.7524
HU,1973-12,46.7524
HU,1974-01,46.7524
HU,1974-02,46.7524
HU,1974-03,46.7524
HU,1974-04,46.7524
HU,1974-05,46.7524
HU,1974-06,46.7524
HU,1974-07,46.7524
HU,1974-08,46.7524
HU,1974-09,46.7524
HU,1974-10,46.7524
HU,1974-11,46.7524
HU,1974-12,46.7524
HU,1975-01,46.2858
HU,1975-02,46.2858
HU,1975-03,43.5085
HU,1975-04,43.5085
HU,1975-05,43.5085
HU,1975-06,43.5085
HU,1975-07,43.5085
HU,1975-08,43.5085
HU,1975-09,43.5085
HU,1975-10,43.5085
HU,1975-11,43.5085
HU,1975-12,43.5085
HU,1976-01,41.3
HU,1976-02,41.3
HU,1976-03,41.4032
HU,1976-04,41.7
HU,1976-05,41.7
HU,1976-06,41.7
HU,1976-07,41.7
HU,1976-08,41.7
HU,1976-09,41.7
HU,1976-10,41.7
HU,1976-11,41.7
HU,1976-12,41.3
HU,1977-01,41.3
HU,1977-02,41.3
HU,1977-03,41.2645
HU,1977-04,41.2
HU,1977-05,41.2
HU,1977-06,41.2
HU,1977-07,41.0645
HU,1977-08,40.6
HU,1977-09,40.6
HU,1977-10,40.6
HU,1977-11,40.6
HU,1977-12,40.6
HU,1978-01,39.8
HU,1978-02,39.8
HU,1978-03,39.0516
HU,1978-04,38.727
HU,1978-05,37.83
HU,1978-06,37.83
HU,1978-07,37.83
HU,1978-08,37.45
HU,1978-09,37.45
HU,1978-10,37.45
HU,1978-11,36.1396
HU,1978-12,35.578
HU,1979-01,35.578
HU,1979-02,35.578
HU,1979-03,35.578
HU,1979-04,35.578
HU,1979-05,35.578
HU,1979-06,35.578
HU,1979-07,35.578
HU,1979-08,35.578
HU,1979-09,35.578
HU,1979-10,35.578
HU,1979-11,35.578
HU,1979-12,35.578
HU,1980-01,34.0
HU,1980-02,33.5
HU,1980-03,31.9345
HU,1980-04,32.9677
HU,1980-05,32.6022
HU,1980-06,32.2436
HU,1980-07,32.0497
HU,1980-08,31.7855
HU,1980-09,32.2393
HU,1980-10,32.2393
HU,1980-11,32.613
HU,1980-12,32.2126
HU,1981-01,32.5534
HU,1981-02,32.9951
HU,1981-03,33.5655
HU,1981-04,33.5655
HU,1981-05,34.049
HU,1981-06,34.729
HU,1981-07,35.0739
HU,1981-08,35.6076
HU,1981-09,35.9536
HU,1981-10,34.7496
HU,1981-11,34.4996
HU,1981-12,34.4297
HU,1982-01,34.4297
HU,1982-02,34.5634
HU,1982-03,34.65
HU,1982-04,34.9365
HU,1982-05,34.5993
HU,1982-06,35.0563
HU,1982-07,37.3159
HU,1982-08,38.2278
HU,1982-09,38.3549
HU,1982-10,38.59
HU,1982-11,38.9634
HU,1982-12,39.8794
HU,1983-01,39.4771
HU,1983-02,39.8807
HU,1983-03,40.1801
HU,1983-04,41.3416
HU,1983-05,41.7838
HU,1983-06,42.4982
HU,1983-07,43.5512
HU,1983-08,44.5886
HU,1983-09,44.6811
HU,1983-10,44.37
HU,1983-11,44.6442
HU,1983-12,45.0572
HU,1984-01,45.2934
HU,1984-02,46.1272
HU,1984-03,45.6318
HU,1984-04,45.7064
HU,1984-05,46.4329
HU,1984-06,46.701
HU,1984-07,49.2601
HU,1984-08,49.5754
HU,1984-09,50.0671
HU,1984-10,50.6811
HU,1984-11,50.1836
HU,1984-12,50.8465
HU,1985-01,51.3183
HU,1985-02,51.9637
HU,1985-03,52.1753
HU,1985-04,50.8891
HU,1985-05,51.0777
HU,1985-06,50.8274
HU,1985-07,50.0027
HU,1985-08,49.2789
HU,1985-09,49.6054
HU,1985-10,48.4457
HU,1985-11,48.1489
HU,1985-12,47.6997
HU,1986-01,47.1483
HU,1986-02,45.8948
HU,1986-03,46.0034
HU,1986-04,46.2473
HU,1986-05,45.4411
HU,1986-06,46.1304
HU,1986-07,45.0227
HU,1986-08,43.7482
HU,1986-09,44.3895
HU,1986-10,46.5017
HU,1986-11,46.9371
HU,1986-12,46.5213
HU,1987-01,44.9127
HU,1987-02,44.3674
HU,1987-03,46.6678
HU,1987-04,47.4927
HU,1987-05,47.0797
HU,1987-06,47.6231
HU,1987-07,48.0745
HU,1987-08,48.2871
HU,1987-09,47.5169
HU,1987-10,47.4854
HU,1987-11,47.1171
HU,1987-12,47.0221
HU,1988-01,47.1855
HU,1988-02,48.0639
HU,1988-03,47.7863
HU,1988-04,47.5811
HU,1988-05,47.9429
HU,1988-06,48.9414
HU,1988-07,51.7269
HU,1988-08,54.306000000000004
HU,1988-09,54.0731
HU,1988-10,53.3753
HU,1988-11,51.9589
HU,1988-12,52.0172
HU,1989-01,53.291000000000004
HU,1989-02,53.7327
HU,1989-03,54.9872
HU,1989-04,58.9038
HU,1989-05,61.6652
HU,1989-06,62.428000000000004
HU,1989-07,60.7576
HU,1989-08,60.5814
HU,1989-09,61.0604
HU,1989-10,59.6382
HU,1989-11,59.1209
HU,1989-12,62.6297
HU,1990-01,62.3583
HU,1990-02,63.9429
HU,1990-03,65.6779
HU,1990-04,65.2133
HU,1990-05,64.5682
HU,1990-06,65.0232
HU,1990-07,64.013
HU,1990-08,62.3791
HU,1990-09,62.3538
HU,1990-10,61.3735
HU,1990-11,60.6212
HU,1990-12,60.946000000000005
HU,1991-01,69.1477264054545
HU,1991-02,69.5550006865
HU,1991-03,72.6295238666667
HU,1991-04,75.1781817354545
HU,1991-05,75.58478247521741
HU,1991-06,76.9714992505
HU,1991-07,77.2891305013043
HU,1991-08,76.2540907418182
HU,1991-09,75.45571427142859
HU,1991-10,75.2065214065217
HU,1991-11,77.1719044280952
HU,1991-12,76.7872727145455
HU,1992-01,76.9136362940909
HU,1992-02,77.8025001525
HU,1992-03,79.6549991240909
HU,1992-04,80.0018175295454
HU,1992-05,79.24761926571429
HU,1992-06,78.48818172136359
HU,1992-07,77.460868836087
HU,1992-08,76.60142807809521
HU,1992-09,77.2745454959091
HU,1992-10,78.8531813181818
HU,1992-11,82.6200005661905
HU,1992-12,82.95434802521741
HU,1993-01,83.79571387952379
HU,1993-02,85.672999573
HU,1993-03,87.0656525986956
HU,1993-04,87.6136363640909
HU,1993-05,87.738572257619
HU,1993-06,90.3095449968182
HU,1993-07,94.5295458713636
HU,1993-08,95.2336366827273
HU,1993-09,93.5031818040909
HU,1993-10,97.7847617019048
HU,1993-11,99.6786353340909
HU,1993-12,99.9856524221739
HU,1994-01,101.964285709524
HU,1994-02,102.999501035
HU,1994-03,103.090475166667
HU,1994-04,103.250000385
HU,1994-05,102.589524042857
HU,1994-06,102.72590915
HU,1994-07,100.929524007143
HU,1994-08,107.523913173913
HU,1994-09,108.18500067727301
HU,1994-10,107.56095233809499
HU,1994-11,109.035239071429
HU,1994-12,111.597999965
HU,1995-01,111.50681756363599
HU,1995-02,111.846499625
HU,1995-03,116.35999957272699
HU,1995-04,120.23526242105301
HU,1995-05,123.874544327273
HU,1995-06,125.52571432381
HU,1995-07,126.37571462381001
HU,1995-08,130.56260847826098
HU,1995-09,133.67857142381
HU,1995-10,133.95105382105302
HU,1995-11,135.745001359091
HU,1995-12,138.982106257895
HU,1996-01,141.920001636364
HU,1996-02,144.400953752381
HU,1996-03,146.04449996
HU,1996-04,148.749048871429
HU,1996-05,151.929048090476
HU,1996-06,152.7909996
HU,1996-07,153.185650365217
HU,1996-08,153.851363636364
HU,1996-09,156.481904761905
HU,1996-10,159.108695652174
HU,1996-11,159.25619047619
HU,1996-12,163.59
HU,1997-01,165.88
HU,1997-02,172.965
HU,1997-03,176.53714285714298
HU,1997-04,179.478571428571
HU,1997-05,181.38400000000001
HU,1997-06,184.955714285714
HU,1997-07,191.46782608695702
HU,1997-08,197.74099999999999
HU,1997-09,195.889047619048
HU,1997-10,195.972608695652
HU,1997-11,195.944736842105
HU,1997-12,201.328
HU,1998-01,205.90619047619
HU,1998-02,207.7525
HU,1998-03,210.32227272727297
HU,1998-04,211.6415
HU,1998-05,210.4135
HU,1998-06,215.707727272727
HU,1998-07,217.859565217391
HU,1998-08,220.513333333333
HU,1998-09,220.59363636363602
HU,1998-10,215.751818181818
HU,1998-11,217.564761904762
HU,1998-12,217.106818181818
HU,1999-01,215.9425
HU,1999-02,222.84
HU,1999-03,232.830434782609
HU,1999-04,235.7005
HU,1999-05,235.230476190476
HU,1999-06,239.975
HU,1999-07,242.078181818182
HU,1999-08,238.985
HU,1999-09,242.84136363636398
HU,1999-10,240.56809523809503
HU,1999-11,246.5
HU,1999-12,251.266666666667
HU,2000-01,251.0805
HU,2000-02,260.127142857143
HU,2000-03,266.264782608696
HU,2000-04,272.5345
HU,2000-05,285.68217391304296
HU,2000-06,273.508636363636
HU,2000-07,276.655238095238
HU,2000-08,287.93217391304296
HU,2000-09,301.5325
HU,2000-10,307.67227272727297
HU,2000-11,308.940454545455
HU,2000-12,295.5035
HU,2001-01,282.29727272727297
HU,2001-02,288.404
HU,2001-03,292.602272727273
HU,2001-04,299.157
HU,2001-05,295.568260869565
HU,2001-06,289.989047619048
HU,2001-07,289.15954545454497
HU,2001-08,278.733043478261
HU,2001-09,280.233
HU,2001-10,281.501739130435
HU,2001-11,282.861818181818
HU,2001-12,277.39
HU,2002-01,275.882272727273
HU,2002-02,279.7895
HU,2002-03,278.98761904761903
HU,2002-04,273.695
HU,2002-05,265.819565217391
HU,2002-06,254.433
HU,2002-07,247.99391304347802
HU,2002-08,250.86454545454498
HU,2002-09,248.745238095238
HU,2002-10,248.100869565217
HU,2002-11,237.97666666666697
HU,2002-12,232.32052631578898
HU,2003-01,226.827272727273
HU,2003-02,227.4725
HU,2003-03,227.551428571429
HU,2003-04,226.235909090909
HU,2003-05,212.425454545455
HU,2003-06,223.489047619048
HU,2003-07,231.605652173913
HU,2003-08,232.521428571429
HU,2003-09,227.71181818181802
HU,2003-10,218.269130434783
HU,2003-11,221.7035
HU,2003-12,215.75380952381
HU,2004-01,209.325238095238
HU,2004-02,207.8895
HU,2004-03,206.481304347826
HU,2004-04,208.090909090909
HU,2004-05,210.54571428571398
HU,2004-06,208.18863636363602
HU,2004-07,203.75545454545502
HU,2004-08,204.153181818182
HU,2004-09,202.69636363636397
HU,2004-10,197.379047619048
HU,2004-11,189.22
HU,2004-12,183.586956521739
HU,2005-01,187.56380952381
HU,2005-02,187.511
HU,2005-03,185.69043478260897
HU,2005-04,191.50761904761902
HU,2005-05,198.32409090909098
HU,2005-06,204.791818181818
HU,2005-07,204.58190476190498
HU,2005-08,198.700869565217
HU,2005-09,200.590909090909
HU,2005-10,209.39761904761903
HU,2005-11,212.75545454545502
HU,2005-12,212.905909090909
HU,2006-01,206.965909090909
HU,2006-02,210.8855
HU,2006-03,217.05478260869597
HU,2006-04,216.3125
HU,2006-05,205.55652173913003
HU,2006-06,215.308181818182
HU,2006-07,218.50238095238097
HU,2006-08,214.209130434783
HU,2006-09,215.62761904761902
HU,2006-10,211.237272727273
HU,2006-11,200.755
HU,2006-12,192.404285714286
HU,2007-01,195.358695652174
HU,2007-02,193.5705
HU,2007-03,188.351818181818
HU,2007-04,182.07
HU,2007-05,184.057391304348
HU,2007-06,186.34761904761902
HU,2007-07,180.164090909091
HU,2007-08,187.458695652174
HU,2007-09,182.125
HU,2007-10,176.450434782609
HU,2007-11,173.23454545454499
HU,2007-12,173.9475
HU,2008-01,173.95413043478297
HU,2008-02,177.962095238095
HU,2008-03,167.381333333333
HU,2008-04,161.015772727273
HU,2008-05,159.235272727273
HU,2008-06,155.997571428571
HU,2008-07,147.110739130435
HU,2008-08,157.619523809524
HU,2008-09,167.751863636364
HU,2008-10,196.813
HU,2008-11,207.8423
HU,2008-12,196.89
HU,2009-01,213.4815
HU,2009-02,232.7305
HU,2009-03,232.68363636363603
HU,2009-04,222.074545454545
HU,2009-05,206.02
HU,2009-06,199.76504545454497
HU,2009-07,192.962173913043
HU,2009-08,188.850952380952
HU,2009-09,186.285909090909
HU,2009-10,181.052272727273
HU,2009-11,181.47809523809502
HU,2009-12,187.361304347826
HU,2010-01,188.419047619048
HU,2010-02,198.0245
HU,2010-03,195.339130434783
HU,2010-04,198.11
HU,2010-05,219.904761904762
HU,2010-06,230.24
HU,2010-07,221.44818181818198
HU,2010-08,217.734090909091
HU,2010-09,214.975909090909
HU,2010-10,197.17428571428601
HU,2010-11,202.06727272727298
HU,2010-12,209.73304347826098
HU,2011-01,205.94714285714298
HU,2011-02,198.1535
HU,2011-03,193.109565217391
HU,2011-04,183.235714285714
HU,2011-05,186.451818181818
HU,2011-06,184.889090909091
HU,2011-07,187.269047619048
HU,2011-08,189.68782608695702
HU,2011-09,206.890909090909
HU,2011-10,216.174761904762
HU,2011-11,227.503181818182
HU,2011-12,231.569090909091
HU,2012-01,237.80272727272703
HU,2012-02,219.270476190476
HU,2012-03,221.134090909091
HU,2012-04,223.77285714285702
HU,2012-05,229.463043478261
HU,2012-06,233.639047619048
HU,2012-07,232.917272727273
HU,2012-08,224.603043478261
HU,2012-09,220.3345
HU,2012-10,217.100434782609
HU,2012-11,219.858636363636
HU,2012-12,217.97761904761902
HU,2013-01,220.47826086956502
HU,2013-02,219.1505
HU,2013-03,233.844285714286
HU,2013-04,229.197727272727
HU,2013-05,225.307142857143
HU,2013-06,224.2345
HU,2013-07,225.45304347826098
HU,2013-08,224.850909090909
HU,2013-09,224.5
HU,2013-10,216.297826086957
HU,2013-11,220.422380952381
HU,2013-12,219.244090909091
HU,2014-01,221.68652173912997
HU,2014-02,227.0425
HU,2014-03,225.46
HU,2014-04,222.485
HU,2014-05,221.735909090909
HU,2014-06,225.061428571429
HU,2014-07,228.70695652173902
HU,2014-08,235.595238095238
HU,2014-09,242.619090909091
HU,2014-10,242.60347826087002
HU,2014-11,246.1875
HU,2014-12,252.246086956522
HU,2015-01,271.42
HU,2015-02,270.3035
HU,2015-03,280.155909090909
HU,2015-04,277.839090909091
HU,2015-05,274.18142857142897
HU,2015-06,278.368181818182
HU,2015-07,283.051739130435
HU,2015-08,279.782380952381
HU,2015-09,278.652272727273
HU,2015-10,276.843636363636
HU,2015-11,290.855714285714
HU,2015-12,288.873913043478
HU,2016-01,289.602380952381
HU,2016-02,279.495238095238
HU,2016-03,280.238260869565
HU,2016-04,274.740476190476
HU,2016-05,278.043181818182
HU,2016-06,279.35863636363604
HU,2016-07,284.242857142857
HU,2016-08,276.91
HU,2016-09,275.40954545454497
HU,2016-10,278.37857142857104
HU,2016-11,286.013636363636
HU,2016-12,295.819090909091
HU,2017-01,290.975
HU,2017-02,289.9335
HU,2017-03,289.997391304348
HU,2017-04,290.7355
HU,2017-05,280.728260869565
HU,2017-06,274.530909090909
HU,2017-07,266.637619047619
HU,2017-08,257.57086956521704
HU,2017-09,258.747142857143
HU,2017-10,263.579545454545
HU,2017-11,265.71545454545503
HU,2017-12,264.56619047619
HU,2018-01,253.837391304348
HU,2018-02,252.19400000000002
HU,2018-03,253.21863636363602
HU,2018-04,253.851904761905
HU,2018-05,267.432608695652
HU,2018-06,276.357142857143
HU,2018-07,278.003636363636
HU,2018-08,279.78
HU,2018-09,278.532
HU,2018-10,282.111304347826
HU,2018-11,284.025909090909
HU,2018-12,283.309523809524
HU,2019-01,280.23
HU,2019-02,280.262
HU,2019-03,279.368571428571
HU,2019-04,285.560909090909
HU,2019-05,290.618260869565
HU,2019-06,285.855
HU,2019-07,289.914347826087
HU,2019-08,293.723636363636
HU,2019-09,301.920952380952
HU,2019-10,300.158695652174
HU,2019-11,301.836666666667
HU,2019-12,297.782272727273
HU,2020-01,300.90608695652196
HU,2020-02,309.2715
HU,2020-03,312.114545454545
HU,2020-04,327.990454545455
HU,2020-05,322.36380952381
HU,2020-06,308.675
HU,2020-07,306.563913043478
HU,2020-08,294.615714285714
HU,2020-09,305.629090909091
HU,2020-10,308.28454545454497
HU,2020-11,304.241904761905
HU,2020-12,295.23913043478296
HU,2021-01,295.048571428571
HU,2021-02,296.046
HU,2021-03,307.230869565217
HU,2021-04,301.943181818182
HU,2021-05,291.395714285714
HU,2021-06,290.269545454545
HU,2021-07,302.205
HU,2021-08,298.978181818182
HU,2021-09,299.249090909091
HU,2021-10,311.14809523809504
HU,2021-11,319.336818181818
HU,2021-12,325.03652173912997
HU,2022-01,316.798571428571
HU,2022-02,314.84
HU,2022-03,342.356086956522
HU,2022-04,346.430952380952
HU,2022-05,363.623181818182
HU,2022-06,375.23454545454496
HU,2022-07,396.82523809523803
HU,2022-08,397.2665217391299
HU,2022-09,407.818181818182
HU,2022-10,425.54523809523806
HU,2022-11,399.71545454545503
HU,2022-12,384.437272727273
HU,2023-01,367.326818181818
HU,2023-02,359.1925
HU,2023-03,359.91391304347803
HU,2023-04,343.0385
HU,2023-05,342.766956521739
HU,2023-06,342.148636363636
HU,2023-07,342.850952380952
HU,2023-08,353.348695652174
HU,2023-09,361.742380952381
HU,2023-10,364.77272727272697
HU,2023-11,350.84090909090895
HU,2023-12,349.871904761905
HU,2024-01,350.168695652174
HU,2024-02,359.68523809523805
HU,2024-03,363.65666666666704
HU,2024-04,366.033181818182
HU,2024-05,358.738695652174
HU,2024-06,366.6765
HU,2024-07,362.19043478260903
HU,2024-08,359.065909090909
HU,2024-09,355.553333333333
HU,2024-10,368.22391304347803
HU,2024-11,385.488095238095
HU,2024-12,393.742272727273
HU,2025-01,397.55
HU,2025-02,387.29400000000004
HU,2025-03,369.96238095238095
HU,2025-04,362.329090909091
HU,2025-05,357.90590909090895
HU,2025-06,349.176666666667
HU,2025-07,341.577391304348
HU,2025-08,340.91190476190496
HU,2025-09,333.840909090909
