Country,Time,Exposure
AT,2024-10,0.0022567142035396
AT,2024-11,0.0
AT,2024-12,0.0
AT,2025-01,0.0
AT,2025-02,-0.0086892006854043
AT,2025-03,2.76968039268872
AT,2025-04,2.29447401565153
AT,2025-05,0.2488816327676847
AT,2025-06,5.138516261630794
AT,2025-07,0.0
AT,2025-08,0.1165674684980004
BE,2024-10,0.015038405816375
BE,2024-11,0.0
BE,2024-12,0.0
BE,2025-01,0.0
BE,2025-02,-0.0179511496368807
BE,2025-03,0.906144525467506
BE,2025-04,1.79348372652169
BE,2025-05,0.0612478279166101
BE,2025-06,2.774670265999251
BE,2025-07,0.0
BE,2025-08,0.0427993834513975
BG,2024-10,0.0
BG,2024-11,0.0
BG,2024-12,0.0
BG,2025-01,0.0
BG,2025-02,-0.0104887569724772
BG,2025-03,2.736575810097025
BG,2025-04,0.0046676509080173
BG,2025-05,0.1498815174361472
BG,2025-06,2.7416883963470293
BG,2025-07,0.0
BG,2025-08,1.2147611409604235
CY,2024-10,0.0
CY,2024-11,0.0
CY,2024-12,0.0
CY,2025-01,0.0
CY,2025-02,-0.0127908839647878
CY,2025-03,0.5654651402092555
CY,2025-04,0.0
CY,2025-05,0.0741735031662964
CY,2025-06,0.5654651402092555
CY,2025-07,0.0
CY,2025-08,0.09182068570902
CZ,2024-10,0.00386208843826
CZ,2024-11,0.0
CZ,2024-12,0.0
CZ,2025-01,0.0
CZ,2025-02,-0.0027226988772729
CZ,2025-03,3.0703046561674774
CZ,2025-04,0.0217053458945676
CZ,2025-05,0.315903983402579
CZ,2025-06,3.1115237324650376
CZ,2025-07,0.0
CZ,2025-08,0.1741156002082096
DE,2024-10,0.003494388505535
DE,2024-11,0.0
DE,2024-12,0.0
DE,2025-01,0.0
DE,2025-02,-0.0090159567832504
DE,2025-03,1.9956234985514607
DE,2025-04,3.5450817539152264
DE,2025-05,0.4104318609391367
DE,2025-06,6.088864153378738
DE,2025-07,0.0
DE,2025-08,0.3517427219710425
DK,2024-10,0.00397446188443
DK,2024-11,0.0
DK,2024-12,0.0
DK,2025-01,0.0
DK,2025-02,-0.0105784251395887
DK,2025-03,1.3632859325503333
DK,2025-04,0.0279194818383128
DK,2025-05,0.2386818114825781
DK,2025-06,1.477865573626707
DK,2025-07,0.0
DK,2025-08,0.1028534159092259
EE,2024-10,0.0711037070207274
EE,2024-11,0.0
EE,2024-12,0.0
EE,2025-01,0.0
EE,2025-02,-0.0031172692206729
EE,2025-03,1.5192080394020488
EE,2025-04,0.0308381388677485
EE,2025-05,0.0880507950223816
EE,2025-06,1.5500461782697974
EE,2025-07,0.0
EE,2025-08,0.1334469571345508
ES,2024-10,0.0011694061644051
ES,2024-11,0.0
ES,2024-12,0.0
ES,2025-01,0.0
ES,2025-02,-0.0303359689065596
ES,2025-03,2.0361516227446623
ES,2025-04,0.5573268233335229
ES,2025-05,0.3845330587002008
ES,2025-06,2.6131395178242585
ES,2025-07,0.0
ES,2025-08,0.1906788104700942
FI,2024-10,0.1309098840616974
FI,2024-11,0.0
FI,2024-12,0.0
FI,2025-01,0.0
FI,2025-02,-0.0014412652400505
FI,2025-03,1.1773436436287177
FI,2025-04,1.6634069313285438
FI,2025-05,0.1664590063665469
FI,2025-06,3.1392099441825208
FI,2025-07,0.0
FI,2025-08,0.5973202010722624
FR,2024-10,0.0002424406235356
FR,2024-11,0.0
FR,2024-12,0.0
FR,2025-01,0.0
FR,2025-02,-0.0111313204318932
FR,2025-03,1.5443439310032012
FR,2025-04,0.1418236510750518
FR,2025-05,0.2077103985126259
FR,2025-06,1.8235065173075495
FR,2025-07,0.0
FR,2025-08,0.1742414515483078
GR,2024-10,0.0116111191635925
GR,2024-11,0.0
GR,2024-12,0.0
GR,2025-01,0.0
GR,2025-02,-0.0392232627044795
GR,2025-03,5.178494682783755
GR,2025-04,0.0101609059749682
GR,2025-05,0.0425110425555688
GR,2025-06,5.218454554954521
GR,2025-07,0.0
GR,2025-08,0.5549378074382643
HR,2024-10,0.0
HR,2024-11,0.0
HR,2024-12,0.0
HR,2025-01,0.0
HR,2025-02,-0.015500023283297
HR,2025-03,1.046019933321287
HR,2025-04,0.7108672314197325
HR,2025-05,0.0494966657707229
HR,2025-06,1.7568871647410194
HR,2025-07,0.0
HR,2025-08,0.0399833883815865
HU,2024-10,0.0
HU,2024-11,0.0
HU,2024-12,0.0
HU,2025-01,0.0
HU,2025-02,-0.0009280793399997
HU,2025-03,1.0315734712059488
HU,2025-04,3.6128250608347656
HU,2025-05,0.2879975117658555
HU,2025-06,4.654663443224173
HU,2025-07,0.0
HU,2025-08,0.2583381697435071
IE,2024-10,0.02623570226089
IE,2024-11,0.0
IE,2024-12,0.0
IE,2025-01,0.0
IE,2025-02,-0.007749541395101
IE,2025-03,0.0602567641719836
IE,2025-04,0.0041052822980115
IE,2025-05,0.0045732667009863
IE,2025-06,0.070855794675155
IE,2025-07,0.0
IE,2025-08,0.0042655710419569
IT,2024-10,0.002634536542655
IT,2024-11,0.0
IT,2024-12,0.0
IT,2025-01,0.0
IT,2025-02,-0.0106098817219903
IT,2025-03,2.047993561447793
IT,2025-04,1.4581405165145236
IT,2025-05,0.2408541707594901
IT,2025-06,3.592222658092705
IT,2025-07,0.0
IT,2025-08,0.1804966067124088
LT,2024-10,0.0
LT,2024-11,0.0
LT,2024-12,0.0
LT,2025-01,0.0
LT,2025-02,-0.0030813224143272
LT,2025-03,1.0832653611812004
LT,2025-04,0.0014412022382543
LT,2025-05,0.0307443475709962
LT,2025-06,1.0959966210117622
LT,2025-07,0.0
LT,2025-08,0.0362199241178463
LU,2024-10,0.0
LU,2024-11,0.0
LU,2024-12,0.0
LU,2025-01,0.0
LU,2025-02,-0.0086613621609271
LU,2025-03,6.129877183677814
LU,2025-04,0.0114641592082475
LU,2025-05,0.0894411859362085
LU,2025-06,6.163101923969736
LU,2025-07,0.0
LU,2025-08,0.3686099616782988
LV,2024-10,0.0
LV,2024-11,0.0
LV,2024-12,0.0
LV,2025-01,0.0
LV,2025-02,-0.0149738538918783
LV,2025-03,1.0787022294489603
LV,2025-04,0.0491989158936584
LV,2025-05,0.2427109577045477
LV,2025-06,1.2821208284512686
LV,2025-07,0.0
LV,2025-08,0.1494211560381836
MT,2024-10,0.0
MT,2024-11,0.0
MT,2024-12,0.0
MT,2025-01,0.0
MT,2025-02,-0.0009026460801538
MT,2025-03,0.5362300894566329
MT,2025-04,0.0141770781621574
MT,2025-05,0.41039622245989
MT,2025-06,0.5504071676187904
MT,2025-07,0.0
MT,2025-08,0.1198625075028827
NL,2024-10,0.0031887185975725
NL,2024-11,0.0
NL,2024-12,0.0
NL,2025-01,0.0
NL,2025-02,-0.012889731328149
NL,2025-03,1.707475576710225
NL,2025-04,0.2567095727707037
NL,2025-05,0.0921221083051852
NL,2025-06,2.0101434595392216
NL,2025-07,0.0
NL,2025-08,0.1037184939264486
PL,2024-10,0.05572658025779
PL,2024-11,0.0
PL,2024-12,0.0
PL,2025-01,0.0
PL,2025-02,-0.0210813465145952
PL,2025-03,2.221754590155076
PL,2025-04,0.00318993901328
PL,2025-05,0.4470651110341566
PL,2025-06,2.2361717572124835
PL,2025-07,0.0
PL,2025-08,0.5561675596083083
PT,2024-10,0.0306381098272325
PT,2024-11,0.0
PT,2024-12,0.0
PT,2025-01,0.0
PT,2025-02,-0.0037622702080455
PT,2025-03,1.607197046299403
PT,2025-04,0.0074958684190819
PT,2025-05,0.5778751475684094
PT,2025-06,1.6382966561611954
PT,2025-07,0.0
PT,2025-08,0.099569092800756
RO,2024-10,0.0
RO,2024-11,0.0
RO,2024-12,0.0
RO,2025-01,0.0
RO,2025-02,-0.002511755530786
RO,2025-03,4.459834214233743
RO,2025-04,0.0024556543413429
RO,2025-05,0.665905035766831
RO,2025-06,4.494831780583461
RO,2025-07,0.0
RO,2025-08,0.2336904455586138
SE,2024-10,0.0002313034129784
SE,2024-11,0.0
SE,2024-12,0.0
SE,2025-01,0.0
SE,2025-02,-0.0022095171368006
SE,2025-03,2.1394413000502626
SE,2025-04,4.610250164529895
SE,2025-05,0.2943189127363096
SE,2025-06,7.034655507449813
SE,2025-07,0.0
SE,2025-08,0.0728535305225813
SI,2024-10,0.0036525278387325
SI,2024-11,0.0
SI,2024-12,0.0
SI,2025-01,0.0
SI,2025-02,-0.0218768419260782
SI,2025-03,1.5115733302521952
SI,2025-04,0.0026302250985525
SI,2025-05,0.164547864136854
SI,2025-06,1.5142035553507478
SI,2025-07,0.0
SI,2025-08,0.021887227634894
SK,2024-10,0.0001028711652468
SK,2024-11,0.0
SK,2024-12,0.0
SK,2025-01,0.0
SK,2025-02,-0.0004022407423619
SK,2025-03,1.1606742417553373
SK,2025-04,17.423096369248086
SK,2025-05,0.3938580967069229
SK,2025-06,18.601133202366043
SK,2025-07,0.0
SK,2025-08,0.0702385991811998
